phase,epoch,train_loss,val_loss,train_auc,val_auc,gap
phase1_head,1,0.4320970362141019,0.3740465044975281,0.9489567393967273,0.9374337098765432,0.011523029520184136
phase1_head,2,0.3944777913093567,0.3995859622955322,0.957554433325881,0.9406411604938272,0.016913272832053794
phase1_head,3,0.384060234274183,0.3535443842411041,0.9610422082754697,0.9508560432098764,0.010186165065593333
phase1_head,4,0.37691459726151966,0.33408796787261963,0.9617591227260681,0.953559061728395,0.00820006099767312
phase2_finetune,1,0.3332563544000898,0.29981616139411926,0.9756082845500391,0.9727712839506172,0.002837000599421935
phase2_finetune,2,0.3028153275989351,0.30236032605171204,0.9806491874314998,0.9779561543209877,0.0026930331105120553
phase2_finetune,3,0.28992880603245325,0.2650316655635834,0.9835006786793783,0.9813864012345678,0.0021142774448105195
phase2_finetune,4,0.2754229050704411,0.24345336854457855,0.9856961098877575,0.9844398456790124,0.0012562642087450282
phase2_finetune,5,0.2650432991981506,0.24113549292087555,0.9872538930749707,0.9859501913580248,0.0013037017169459375
phase2_finetune,6,0.2580094001860846,0.23148564994335175,0.9885029479087855,0.987164327160494,0.001338620748291497
phase2_finetune,7,0.25043001790273756,0.22727178037166595,0.9895520318297648,0.9883746419753087,0.0011773898544561456
phase2_finetune,8,0.24564103954178945,0.22262904047966003,0.990265971836722,0.9888266666666666,0.001439305170055416
